file_name,file_size,keyword_len,threads,time_seq_ms,time_thread_ms,time_openmp_ms
text_test_10000,10000,10,1,0.3717,3.1977,0.407
text_test_10000,10000,10,3,,1.4441,0.6256
text_test_10000,10000,10,6,,1.4143,0.7811
text_test_10000,10000,10,12,,3.1573,1.8288
text_test_10000,10000,10,18,,5.7863,4.3161
text_test_10000,10000,10,24,,8.5184,6.1833
text_test_10000,10000,10,32,,8.7272,7.455
text_test_10000,10000,20,1,0.5585,1.0137,3.4803
text_test_10000,10000,20,3,,2.0174,0.631
text_test_10000,10000,20,6,,2.018,1.2747
text_test_10000,10000,20,12,,4.0194,2.6171
text_test_10000,10000,20,18,,8.0077,5.3277
text_test_10000,10000,20,24,,8.8293,6.7438
text_test_10000,10000,20,32,,10.2754,8.6048
text_test_10000,10000,30,1,0.5562,1.1629,3.8322
text_test_10000,10000,30,3,,1.4714,0.6021
text_test_10000,10000,30,6,,1.6539,1.0568
text_test_10000,10000,30,12,,3.4778,2.7886
text_test_10000,10000,30,18,,6.2516,4.6828
text_test_10000,10000,30,24,,20.6399,6.2336
text_test_10000,10000,30,32,,12.7426,9.0008
text_test_100000,100000,10,1,5.6745,6.6033,6.79
text_test_100000,100000,10,3,,2.8032,2.3072
text_test_100000,100000,10,6,,4.0274,2.4041
text_test_100000,100000,10,12,,5.3434,3.9799
text_test_100000,100000,10,18,,6.878,5.3303
text_test_100000,100000,10,24,,7.7918,7.8972
text_test_100000,100000,10,32,,11.8667,8.5899
text_test_100000,100000,20,1,5.9944,7.4453,7.5347
text_test_100000,100000,20,3,,3.1468,2.173
text_test_100000,100000,20,6,,5.2964,2.2519
text_test_100000,100000,20,12,,4.8102,3.1003
text_test_100000,100000,20,18,,8.3155,4.8669
text_test_100000,100000,20,24,,8.4599,6.3396
text_test_100000,100000,20,32,,10.7677,8.8515
text_test_100000,100000,30,1,5.9407,6.7537,6.7827
text_test_100000,100000,30,3,,3.3067,1.872
text_test_100000,100000,30,6,,2.9615,1.9892
text_test_100000,100000,30,12,,4.1614,3.5566
text_test_100000,100000,30,18,,6.7858,5.3923
text_test_100000,100000,30,24,,10.4708,7.4513
text_test_100000,100000,30,32,,11.9373,8.9677
text_test_1000000,1000000,10,1,60.2139,44.0715,42.7953
text_test_1000000,1000000,10,3,,19.57,18.5878
text_test_1000000,1000000,10,6,,12.9667,10.0466
text_test_1000000,1000000,10,12,,13.2091,9.361
text_test_1000000,1000000,10,18,,13.61,11.0082
text_test_1000000,1000000,10,24,,15.7341,15.4559
text_test_1000000,1000000,10,32,,19.5172,14.1769
text_test_1000000,1000000,20,1,60.72,59.9312,48.5054
text_test_1000000,1000000,20,3,,19.5374,19.8295
text_test_1000000,1000000,20,6,,13.3205,12.2748
text_test_1000000,1000000,20,12,,11.9759,12.8449
text_test_1000000,1000000,20,18,,15.4637,12.7656
text_test_1000000,1000000,20,24,,16.3071,13.6969
text_test_1000000,1000000,20,32,,20.1767,14.3406
text_test_1000000,1000000,30,1,64.5592,55.3526,49.3376
text_test_1000000,1000000,30,3,,20.0936,29.4245
text_test_1000000,1000000,30,6,,28.0618,12.3543
text_test_1000000,1000000,30,12,,17.4008,13.2925
text_test_1000000,1000000,30,18,,27.4692,21.0872
text_test_1000000,1000000,30,24,,22.2672,16.681
text_test_1000000,1000000,30,32,,22.4362,20.6093
